episode,reward,length,termination_reason
1,-50.70763793875282,47,Gefallen
2,-39.627419335154,49,Gefallen
3,-43.720012360857396,50,Gefallen
4,-36.19821306523302,49,Gefallen
5,-33.31995431491481,52,Gefallen
6,-26.55580819785652,56,Gefallen
7,-31.63710984913115,52,Gefallen
8,-28.997145158023258,54,Gefallen
9,-34.60660574159567,52,Gefallen
10,-47.78787883013879,45,Gefallen
11,-34.056481073047465,51,Gefallen
12,-51.5465178774798,44,Gefallen
13,-35.21407544400846,50,Gefallen
14,-53.78094701848165,44,Gefallen
15,-50.352096288932195,48,Gefallen
16,-48.74066780019352,46,Gefallen
17,-46.03093649539127,49,Gefallen
18,-41.31434562989655,51,Gefallen
19,-25.615251702455623,57,Gefallen
20,-29.589516437310778,54,Gefallen
21,-56.549055572369205,42,Gefallen
22,-40.8115301711535,47,Gefallen
23,-30.40444176765331,53,Gefallen
24,-57.02323342361868,44,Gefallen
25,-50.07965954636187,44,Gefallen
26,-39.176806649590176,51,Gefallen
27,-34.85132409982427,51,Gefallen
28,-35.71961973100686,49,Gefallen
29,-57.15866812844419,43,Gefallen
30,-36.621678680217656,50,Gefallen
