episode,reward,length,termination_reason
1,-32.08229441428236,65,Gefallen
2,-30.09415194475774,53,Gefallen
3,-52.032948552795254,47,Gefallen
4,-31.955331156048658,65,Gefallen
5,-44.78391970249873,49,Gefallen
6,-57.04128884255174,44,Gefallen
7,-61.93518421299004,41,Gefallen
8,-28.877595520708127,55,Gefallen
9,-44.25548056823818,49,Gefallen
10,-29.487140097520935,54,Gefallen
11,-31.46045596349458,53,Gefallen
12,-33.96064270856306,63,Gefallen
13,-31.726750062641827,52,Gefallen
14,-57.441312611549066,46,Gefallen
15,-30.441889204160503,53,Gefallen
16,-52.67287083515876,56,Gefallen
17,-30.66006688491909,55,Gefallen
18,-50.06653278593774,48,Gefallen
19,-63.50319239540518,45,Gefallen
20,-33.917365061550754,63,Gefallen
21,-36.54412706762761,51,Gefallen
22,-52.10852090621687,46,Gefallen
23,-27.14773196527844,55,Gefallen
24,-58.77936736064518,43,Gefallen
25,-55.56366595117604,43,Gefallen
26,-56.10064227579474,54,Gefallen
27,-40.37158869998026,52,Gefallen
28,-38.54008590340246,60,Gefallen
29,-40.92306931818423,58,Gefallen
30,-30.477764141787375,53,Gefallen
