episode,reward,length,termination_reason
1,-33.41260339193802,51,Gefallen
2,-35.758751077787636,50,Gefallen
3,-32.579016776982186,52,Gefallen
4,-43.31241192898652,46,Gefallen
5,-51.26309756350295,43,Gefallen
6,-42.352499562177066,47,Gefallen
7,-50.96639104985812,45,Gefallen
8,-27.594675096866723,55,Gefallen
9,-41.754561573395094,48,Gefallen
10,-52.771866354184034,46,Gefallen
11,-37.0563728314274,50,Gefallen
12,-47.72876145679147,44,Gefallen
13,-37.7679581689945,48,Gefallen
14,-50.48683703398344,46,Gefallen
15,-50.55320976410719,46,Gefallen
16,-47.92908665578605,46,Gefallen
17,-42.24398503691944,48,Gefallen
18,-43.30584238425775,48,Gefallen
19,-57.69613566179062,44,Gefallen
20,-30.81532320233724,53,Gefallen
21,-54.739999105299454,44,Gefallen
22,-52.513015319023275,48,Gefallen
23,-32.43732615857394,52,Gefallen
24,-35.77523565772583,49,Gefallen
25,-35.204514054311716,50,Gefallen
26,-59.99340039030621,44,Gefallen
27,-48.72566052026736,49,Gefallen
28,-51.58854613965552,46,Gefallen
29,-30.550596288765078,53,Gefallen
30,-36.48934274205444,49,Gefallen
