episode,reward,length,termination_reason
1,-51.83331503462767,48,Gefallen
2,-45.53036559087102,48,Gefallen
3,-58.81564563356287,58,Gefallen
4,-23.735881840075635,71,Gefallen
5,-27.594323212856324,69,Gefallen
6,-46.228848409699786,47,Gefallen
7,-41.54622018596841,51,Gefallen
8,-37.66508704397523,51,Gefallen
9,-59.272737611881276,53,Gefallen
10,-55.040661015552544,45,Gefallen
11,-48.819972468570896,49,Gefallen
12,-45.02862854265968,54,Gefallen
13,-52.39216938233567,60,Gefallen
14,-50.8729791725178,55,Gefallen
15,-41.490074090254055,65,Gefallen
16,-37.855712869751535,62,Gefallen
17,-29.451343495562526,64,Gefallen
18,-54.25884044690873,61,Gefallen
19,-56.58501190273187,54,Gefallen
20,-60.850861263678155,52,Gefallen
21,-33.53161416465248,61,Gefallen
22,-52.22279588325949,54,Gefallen
23,-51.212412334710535,60,Gefallen
24,-55.475563305640705,52,Gefallen
25,-32.357544888732946,52,Gefallen
26,-59.963241671364834,46,Gefallen
27,-53.507846879754304,47,Gefallen
28,-61.22502755097325,43,Gefallen
29,-43.09951021092843,60,Gefallen
30,-45.224012432986626,48,Gefallen
