episode,reward,length,termination_reason
1,-43.137282903593345,47,Gefallen
2,-34.94997600696142,50,Gefallen
3,-36.58942900013243,49,Gefallen
4,-36.117437975584075,49,Gefallen
5,-56.971420261550804,42,Gefallen
6,-34.164363492121296,51,Gefallen
7,-40.33297881416024,46,Gefallen
8,-42.0121774635746,47,Gefallen
9,-30.069993972689588,54,Gefallen
10,-33.70071197382457,51,Gefallen
11,-29.7659674961497,53,Gefallen
12,-39.022146099136044,49,Gefallen
13,-39.91469397584484,47,Gefallen
14,-55.810649040253466,44,Gefallen
15,-28.19863317560592,54,Gefallen
16,-47.850297656994414,44,Gefallen
17,-44.54660920026215,45,Gefallen
18,-33.18093247068954,51,Gefallen
19,-53.146557641367906,46,Gefallen
20,-50.42633838136808,47,Gefallen
21,-33.4974291289799,51,Gefallen
22,-53.1287272611791,43,Gefallen
23,-27.24220639290624,56,Gefallen
24,-45.886684837076096,46,Gefallen
25,-34.04972181333481,51,Gefallen
26,-28.859128555075614,54,Gefallen
27,-29.915325017656727,53,Gefallen
28,-36.303658866006096,49,Gefallen
29,-31.189216264574938,52,Gefallen
30,-57.79432165381181,44,Gefallen
