episode,reward,length,termination_reason
1,-49.32770201175898,49,Gefallen
2,-47.69034194288317,45,Gefallen
3,-59.468255129040514,44,Gefallen
4,-36.991956844256165,48,Gefallen
5,-36.99095348214641,50,Gefallen
6,-59.54458316302941,43,Gefallen
7,-52.57490626392993,46,Gefallen
8,-49.255506247521964,44,Gefallen
9,-30.29880725583847,53,Gefallen
10,-52.31133431864425,45,Gefallen
11,-45.505159808479675,47,Gefallen
12,-47.19219487970841,46,Gefallen
13,-28.227244389305824,54,Gefallen
14,-38.41953701306213,48,Gefallen
15,-38.065841726912694,48,Gefallen
16,-42.17354394570137,46,Gefallen
17,-39.939011773171494,47,Gefallen
18,-43.60224061892274,49,Gefallen
19,-39.431478295956175,48,Gefallen
20,-32.46554984652619,52,Gefallen
21,-55.39165237204483,43,Gefallen
22,-27.504640395646362,55,Gefallen
23,-50.22301895488897,44,Gefallen
24,-29.165977086308317,54,Gefallen
25,-48.419481608037074,48,Gefallen
26,-50.08203845014264,46,Gefallen
27,-44.28635272201849,46,Gefallen
28,-44.16563595163851,48,Gefallen
29,-61.26712349280639,41,Gefallen
30,-44.821308709992834,47,Gefallen
