episode,reward,length,termination_reason
1,-47.083918829314044,45,Gefallen
2,-30.985927503729002,53,Gefallen
3,-35.669103301331546,50,Gefallen
4,-36.796104865399904,49,Gefallen
5,-39.68999011749853,47,Gefallen
6,-42.73030663361936,48,Gefallen
7,-33.31595345226371,51,Gefallen
8,-56.00904069738207,44,Gefallen
9,-50.6295376732316,43,Gefallen
10,-54.19099981844393,45,Gefallen
11,-27.395265246674157,55,Gefallen
12,-43.95306820610269,48,Gefallen
13,-32.30032286151068,52,Gefallen
14,-48.766928946254474,45,Gefallen
15,-33.322509586483804,51,Gefallen
16,-50.87411951787378,46,Gefallen
17,-40.48051224715541,48,Gefallen
18,-31.575031510367452,52,Gefallen
19,-37.18324971281063,49,Gefallen
20,-29.444343334492302,54,Gefallen
21,-34.11887714381356,51,Gefallen
22,-58.17953011949278,43,Gefallen
23,-39.57125896024396,47,Gefallen
24,-37.30742145602306,48,Gefallen
25,-33.81537273964241,51,Gefallen
26,-35.476387196497356,49,Gefallen
27,-47.96476897591844,45,Gefallen
28,-43.64345848924235,46,Gefallen
29,-30.37596521939649,53,Gefallen
30,-42.37833437591713,46,Gefallen
