episode,reward,length,termination_reason
1,-52.20784789748409,62,Gefallen
2,-34.52166546306516,52,Gefallen
3,-46.47284484958615,63,Gefallen
4,-48.76235339091773,54,Gefallen
5,-24.389193738283822,87,Gefallen
6,-48.54378312870332,58,Gefallen
7,-29.974726312079454,68,Gefallen
8,-59.94866222673371,59,Gefallen
9,-29.519866850361183,68,Gefallen
10,-32.20952482007473,64,Gefallen
11,-54.83038776616215,45,Gefallen
12,-31.917340874412886,63,Gefallen
13,-49.468459078317125,47,Gefallen
14,-28.630672980186432,58,Gefallen
15,-30.953648800399435,64,Gefallen
16,-38.45295436700619,51,Gefallen
17,-57.34284415417054,54,Gefallen
18,-31.364629791377652,64,Gefallen
19,-49.53087803187039,57,Gefallen
20,-37.82596905064182,61,Gefallen
21,-28.13306059175592,54,Gefallen
22,-25.78892074553106,56,Gefallen
23,-61.86167326553066,59,Gefallen
24,-31.04244811480197,65,Gefallen
25,-30.93813350848241,64,Gefallen
26,-31.423759956203497,56,Gefallen
27,-41.54657811566234,50,Gefallen
28,-25.992573131787353,57,Gefallen
29,-43.2116522535631,51,Gefallen
30,-28.595690307077845,68,Gefallen
